Benchmark, cycle cout, instruction count
dhrystone, mcycle = 248470, minstret = 198518, =
median, mcycle = 5787, minstret = 4159, =
qsort, mcycle = 198578, minstret = 125435, =
rsort, mcycle = 187228, minstret = 172803, =
towers, mcycle = 6331, minstret = 6170, =
multiply, mcycle = 28366, minstret = 24287, =
mm, C0: 27524 cycles, C0: 24994 instructions, =
spmv, mcycle = 46553, minstret = 33897, =
mt-matmul, matmul(cid, nc, 16, input1_data, input2_data, results_data); barrier(nc): 41209 cycles, 10.0 cycles/iter, 1.5 CPI, , =matmul(cid, nc, 16, input1_data, input2_data, results_data); barrier(nc): 41209 cycles, 10.0 cycles/iter, 1.5 CPI
