Benchmark, cycle cout, instruction count
dhrystone, mcycle = 450555, minstret = 200208, =
median, mcycle = 7698, minstret = 4159, =
qsort, mcycle = 249537, minstret = 125929, =
rsort, mcycle = 608349, minstret = 176263, =
towers, mcycle = 7482, minstret = 6170, =
multiply, mcycle = 45078, minstret = 24470, =
mm, , , =
spmv, , , =
mt-matmul, matmul(cid, nc, 16, input1_data, input2_data, results_data); barrier(nc): 160824 cycles, 39.2 cycles/iter, 5.8 CPI, , =matmul(cid, nc, 16, input1_data, input2_data, results_data); barrier(nc): 160824 cycles, 39.2 cycles/iter, 5.8 CPI
